2026-03-18 13:53:10 | Controller: StaticFile | Action: POST | User: admin | Duration: 11ms
2026-03-18 13:53:15 | Controller: IceCream | Action: Create | User: admin | Duration: 64ms
2026-03-18 13:53:10 | Controller: StaticFile | Action: GET | User: admin | Duration: 8321ms
2026-03-18 13:53:18 | Controller: StaticFile | Action: POST | User: admin | Duration: 10ms
2026-03-18 13:53:18 | Controller: StaticFile | Action: GET | User: admin | Duration: 1415ms
2026-03-18 13:53:20 | Controller: StaticFile | Action: POST | User: admin | Duration: 12ms
2026-03-18 13:53:20 | Controller: StaticFile | Action: GET | User: admin | Duration: 5074ms
2026-03-18 13:53:32 | Controller: User | Action: Login | User: Guest | Duration: 45ms
2026-03-18 13:53:33 | Controller: StaticFile | Action: POST | User: sari | Duration: 12ms
2026-03-18 13:53:38 | Controller: IceCream | Action: Create | User: sari | Duration: 58ms
2026-03-18 13:53:46 | Controller: StaticFile | Action: POST | User: sari | Duration: 8ms
2026-03-18 13:53:33 | Controller: StaticFile | Action: GET | User: sari | Duration: 24246ms
2026-03-18 13:54:03 | Controller: User | Action: Login | User: Guest | Duration: 44ms
2026-03-18 13:54:03 | Controller: StaticFile | Action: POST | User: admin | Duration: 8ms
2026-03-18 13:54:08 | Controller: IceCream | Action: Create | User: admin | Duration: 41ms
2026-03-18 13:54:15 | Controller: IceCream | Action: Create | User: admin | Duration: 63ms
2026-03-18 13:54:03 | Controller: StaticFile | Action: GET | User: admin | Duration: 17540ms
2026-03-18 13:54:24 | Controller: StaticFile | Action: POST | User: admin | Duration: 12ms
2026-03-18 13:54:28 | Controller: IceCream | Action: Create | User: admin | Duration: 46ms
2026-03-18 13:53:46 | Controller: StaticFile | Action: GET | User: sari | Duration: 47084ms
2026-03-18 13:54:34 | Controller: StaticFile | Action: POST | User: admin | Duration: 8ms
2026-03-18 13:54:38 | Controller: IceCream | Action: Create | User: admin | Duration: 45ms
2026-03-18 13:54:34 | Controller: StaticFile | Action: GET | User: admin | Duration: 6235ms
2026-03-18 13:54:40 | Controller: StaticFile | Action: POST | User: admin | Duration: 17ms
2026-03-18 13:54:40 | Controller: User | Action: Get | User: admin | Duration: 72ms
2026-03-18 13:54:40 | Controller: StaticFile | Action: GET | User: admin | Duration: 5034ms
2026-03-18 13:54:53 | Controller: User | Action: Login | User: Guest | Duration: 46ms
2026-03-18 13:54:54 | Controller: StaticFile | Action: POST | User: admin | Duration: 17ms
2026-03-18 13:54:59 | Controller: IceCream | Action: Create | User: admin | Duration: 43ms
2026-03-18 13:54:24 | Controller: StaticFile | Action: GET | User: admin | Duration: 53325ms
2026-03-18 13:55:18 | Controller: StaticFile | Action: POST | User: admin | Duration: 18ms
2026-03-18 13:55:18 | Controller: User | Action: Get | User: admin | Duration: 65ms
2026-03-18 13:55:23 | Controller: User | Action: Update | User: admin | Duration: 56ms
2026-03-18 13:55:23 | Controller: User | Action: Get | User: admin | Duration: 95ms
2026-03-18 13:55:23 | Controller: User | Action: Get | User: admin | Duration: 70ms
2026-03-18 13:55:32 | Controller: User | Action: Delete | User: admin | Duration: 75ms
2026-03-18 13:55:32 | Controller: User | Action: Get | User: admin | Duration: 95ms
2026-03-18 13:55:32 | Controller: User | Action: Get | User: admin | Duration: 59ms
2026-03-18 13:55:18 | Controller: StaticFile | Action: GET | User: admin | Duration: 96752ms
2026-03-18 13:57:04 | Controller: User | Action: Login | User: Guest | Duration: 38ms
2026-03-18 13:57:04 | Controller: StaticFile | Action: POST | User: admin | Duration: 11ms
2026-03-18 13:54:54 | Controller: StaticFile | Action: GET | User: admin | Duration: 135016ms
2026-03-18 13:57:09 | Controller: StaticFile | Action: POST | User: admin | Duration: 30ms
2026-03-18 13:57:09 | Controller: User | Action: Get | User: admin | Duration: 70ms
2026-03-18 13:57:04 | Controller: StaticFile | Action: GET | User: admin | Duration: 8384ms
2026-03-18 13:57:13 | Controller: StaticFile | Action: POST | User: admin | Duration: 31ms
2026-03-18 13:57:13 | Controller: User | Action: Get | User: admin | Duration: 80ms
2026-03-18 13:57:41 | Controller: User | Action: Create | User: admin | Duration: 69ms
2026-03-18 13:57:41 | Controller: User | Action: Get | User: admin | Duration: 117ms
2026-03-18 13:57:41 | Controller: User | Action: Get | User: admin | Duration: 113ms
2026-03-18 13:57:41 | Controller: User | Action: Get | User: admin | Duration: 104ms
2026-03-18 13:57:51 | Controller: User | Action: Delete | User: admin | Duration: 66ms
2026-03-18 13:57:51 | Controller: User | Action: Get | User: admin | Duration: 107ms
2026-03-18 13:57:51 | Controller: User | Action: Get | User: admin | Duration: 82ms
2026-03-18 13:57:51 | Controller: User | Action: Get | User: admin | Duration: 60ms
2026-03-18 13:57:13 | Controller: StaticFile | Action: GET | User: admin | Duration: 54671ms
2026-03-18 13:58:08 | Controller: StaticFile | Action: POST | User: admin | Duration: 11ms
2026-03-18 13:58:12 | Controller: IceCream | Action: Create | User: admin | Duration: 54ms
2026-03-18 13:58:12 | Controller: User | Action: Get | User: admin | Duration: 93ms
2026-03-18 13:57:09 | Controller: StaticFile | Action: GET | User: admin | Duration: 66065ms
2026-03-18 13:58:15 | Controller: StaticFile | Action: POST | User: admin | Duration: 10ms
2026-03-18 13:58:33 | Controller: IceCream | Action: Create | User: admin | Duration: 36ms
2026-03-18 13:58:16 | Controller: StaticFile | Action: GET | User: admin | Duration: 28315ms
2026-03-18 13:58:44 | Controller: StaticFile | Action: POST | User: admin | Duration: 23ms
2026-03-18 13:58:44 | Controller: User | Action: Get | User: admin | Duration: 93ms
2026-03-18 13:58:52 | Controller: StaticFile | Action: GET | User: Guest | Duration: 0ms
2026-03-18 13:58:08 | Controller: StaticFile | Action: GET | User: admin | Duration: 74329ms
2026-03-18 13:59:22 | Controller: StaticFile | Action: POST | User: admin | Duration: 26ms
2026-03-18 13:59:22 | Controller: User | Action: Get | User: admin | Duration: 86ms
2026-03-18 13:59:30 | Controller: StaticFile | Action: GET | User: Guest | Duration: 0ms
2026-03-18 13:58:44 | Controller: StaticFile | Action: GET | User: admin | Duration: 46470ms
2026-03-18 13:59:31 | Controller: StaticFile | Action: POST | User: admin | Duration: 9ms
2026-03-18 13:59:33 | Controller: IceCream | Action: Create | User: admin | Duration: 70ms
2026-03-18 13:59:33 | Controller: User | Action: Get | User: admin | Duration: 89ms
2026-03-18 13:59:31 | Controller: StaticFile | Action: GET | User: admin | Duration: 303264ms
2026-03-18 14:04:34 | Controller: StaticFile | Action: POST | User: admin | Duration: 21ms
2026-03-18 14:04:34 | Controller: IceCream | Action: Get | User: admin | Duration: 93ms
2026-03-18 14:04:49 | Controller: IceCream | Action: Update | User: admin | Duration: 118ms
2026-03-18 14:04:49 | Controller: User | Action: Get | User: admin | Duration: 156ms
2026-03-18 14:04:49 | Controller: IceCream | Action: Get | User: admin | Duration: 133ms
2026-03-18 14:04:50 | Controller: IceCream | Action: Get | User: admin | Duration: 122ms
2026-03-18 14:04:50 | Controller: IceCream | Action: Delete | User: admin | Duration: 126ms
2026-03-18 14:04:51 | Controller: IceCream | Action: Get | User: admin | Duration: 135ms
2026-03-18 14:04:51 | Controller: User | Action: Get | User: admin | Duration: 122ms
2026-03-18 14:04:53 | Controller: IceCream | Action: Delete | User: admin | Duration: 96ms
2026-03-18 14:04:53 | Controller: IceCream | Action: Get | User: admin | Duration: 156ms
2026-03-18 14:04:53 | Controller: User | Action: Get | User: admin | Duration: 131ms
2026-03-18 14:04:55 | Controller: IceCream | Action: Delete | User: admin | Duration: 103ms
2026-03-18 14:04:55 | Controller: IceCream | Action: Get | User: admin | Duration: 151ms
2026-03-18 14:04:55 | Controller: User | Action: Get | User: admin | Duration: 125ms
2026-03-18 14:04:56 | Controller: IceCream | Action: Delete | User: admin | Duration: 99ms
2026-03-18 14:04:56 | Controller: IceCream | Action: Get | User: admin | Duration: 149ms
2026-03-18 14:04:56 | Controller: User | Action: Get | User: admin | Duration: 127ms
2026-03-18 14:04:57 | Controller: IceCream | Action: Delete | User: admin | Duration: 100ms
2026-03-18 14:04:58 | Controller: IceCream | Action: Get | User: admin | Duration: 130ms
2026-03-18 14:04:58 | Controller: User | Action: Get | User: admin | Duration: 112ms
2026-03-18 14:04:58 | Controller: IceCream | Action: Delete | User: admin | Duration: 106ms
2026-03-18 14:04:58 | Controller: IceCream | Action: Get | User: admin | Duration: 144ms
2026-03-18 14:04:58 | Controller: User | Action: Get | User: admin | Duration: 135ms
2026-03-18 14:04:59 | Controller: IceCream | Action: Delete | User: admin | Duration: 93ms
2026-03-18 14:04:59 | Controller: IceCream | Action: Get | User: admin | Duration: 147ms
2026-03-18 14:04:59 | Controller: User | Action: Get | User: admin | Duration: 126ms
2026-03-18 14:05:04 | Controller: IceCream | Action: Delete | User: admin | Duration: 101ms
2026-03-18 14:05:04 | Controller: IceCream | Action: Get | User: admin | Duration: 146ms
2026-03-18 14:05:04 | Controller: User | Action: Get | User: admin | Duration: 124ms
2026-03-18 14:05:06 | Controller: IceCream | Action: Delete | User: admin | Duration: 94ms
2026-03-18 14:05:07 | Controller: IceCream | Action: Get | User: admin | Duration: 146ms
2026-03-18 14:05:07 | Controller: User | Action: Get | User: admin | Duration: 133ms
2026-03-18 14:05:10 | Controller: IceCream | Action: Delete | User: admin | Duration: 89ms
2026-03-18 14:05:10 | Controller: IceCream | Action: Get | User: admin | Duration: 269ms
2026-03-18 14:05:10 | Controller: User | Action: Get | User: admin | Duration: 251ms
2026-03-18 14:05:11 | Controller: IceCream | Action: Delete | User: admin | Duration: 113ms
2026-03-18 14:05:11 | Controller: IceCream | Action: Get | User: admin | Duration: 153ms
2026-03-18 14:05:11 | Controller: User | Action: Get | User: admin | Duration: 142ms
2026-03-18 14:05:41 | Controller: IceCream | Action: Create | User: admin | Duration: 111ms
2026-03-18 14:05:41 | Controller: IceCream | Action: Get | User: admin | Duration: 140ms
2026-03-18 14:05:41 | Controller: User | Action: Get | User: admin | Duration: 116ms
2026-03-18 14:05:53 | Controller: StaticFile | Action: GET | User: Guest | Duration: 0ms
2026-03-18 14:06:00 | Controller: IceCream | Action: Update | User: admin | Duration: 99ms
2026-03-18 14:06:00 | Controller: IceCream | Action: Get | User: admin | Duration: 141ms
2026-03-18 14:06:00 | Controller: User | Action: Get | User: admin | Duration: 130ms
2026-03-18 14:06:00 | Controller: IceCream | Action: Get | User: admin | Duration: 109ms
2026-03-18 14:06:03 | Controller: IceCream | Action: Update | User: admin | Duration: 100ms
2026-03-18 14:06:03 | Controller: IceCream | Action: Get | User: admin | Duration: 149ms
2026-03-18 14:06:03 | Controller: User | Action: Get | User: admin | Duration: 133ms
2026-03-18 14:06:03 | Controller: IceCream | Action: Get | User: admin | Duration: 108ms
2026-03-18 14:06:08 | Controller: StaticFile | Action: GET | User: Guest | Duration: 0ms
2026-03-18 14:04:34 | Controller: StaticFile | Action: GET | User: admin | Duration: 93548ms
2026-03-18 14:06:08 | Controller: StaticFile | Action: POST | User: admin | Duration: 25ms
2026-03-18 14:06:08 | Controller: User | Action: Get | User: admin | Duration: 87ms
2026-03-18 14:06:13 | Controller: StaticFile | Action: GET | User: Guest | Duration: 0ms
2026-03-18 14:06:08 | Controller: StaticFile | Action: GET | User: admin | Duration: 5360ms
2026-03-18 14:06:22 | Controller: User | Action: Login | User: Guest | Duration: 53ms
2026-03-18 14:06:22 | Controller: StaticFile | Action: GET | User: Guest | Duration: 0ms
2026-03-18 14:06:22 | Controller: StaticFile | Action: POST | User: admin | Duration: 22ms
2026-03-18 14:06:22 | Controller: IceCream | Action: Get | User: admin | Duration: 90ms
2026-03-18 14:06:26 | Controller: StaticFile | Action: GET | User: Guest | Duration: 0ms
2026-03-18 14:06:22 | Controller: StaticFile | Action: GET | User: admin | Duration: 3790ms
2026-03-18 14:06:26 | Controller: StaticFile | Action: POST | User: admin | Duration: 26ms
2026-03-18 14:06:26 | Controller: User | Action: Get | User: admin | Duration: 89ms
2026-03-18 14:06:53 | Controller: StaticFile | Action: GET | User: Guest | Duration: 0ms
2026-03-18 14:06:26 | Controller: StaticFile | Action: GET | User: admin | Duration: 27026ms
2026-03-18 14:07:04 | Controller: User | Action: Login | User: Guest | Duration: 47ms
2026-03-18 14:07:05 | Controller: StaticFile | Action: GET | User: Guest | Duration: 0ms
2026-03-18 14:07:05 | Controller: StaticFile | Action: POST | User: sari | Duration: 21ms
2026-03-18 14:07:05 | Controller: IceCream | Action: Get | User: sari | Duration: 97ms
2026-03-18 14:07:25 | Controller: IceCream | Action: Create | User: sari | Duration: 92ms
2026-03-18 14:07:25 | Controller: IceCream | Action: Get | User: sari | Duration: 108ms
2026-03-18 14:07:40 | Controller: StaticFile | Action: GET | User: Guest | Duration: 0ms
2026-03-18 14:07:05 | Controller: StaticFile | Action: GET | User: sari | Duration: 35174ms
2026-03-18 14:07:50 | Controller: User | Action: Login | User: Guest | Duration: 60ms
2026-03-18 14:07:51 | Controller: StaticFile | Action: GET | User: Guest | Duration: 0ms
2026-03-18 14:07:51 | Controller: StaticFile | Action: POST | User: sari | Duration: 25ms
2026-03-18 14:07:51 | Controller: IceCream | Action: Get | User: sari | Duration: 102ms
2026-03-18 14:07:51 | Controller: StaticFile | Action: GET | User: sari | Duration: 54531ms
2026-03-18 14:08:53 | Controller: User | Action: Login | User: Guest | Duration: 50ms
2026-03-18 14:08:54 | Controller: StaticFile | Action: POST | User: admin | Duration: 27ms
2026-03-18 14:08:54 | Controller: IceCream | Action: Get | User: admin | Duration: 98ms
2026-03-18 14:08:54 | Controller: StaticFile | Action: GET | User: admin | Duration: 412478ms
2026-03-18 14:15:55 | Controller: User | Action: Login | User: Guest | Duration: 43ms
2026-03-18 14:15:56 | Controller: StaticFile | Action: POST | User: sari | Duration: 37ms
2026-03-18 14:15:56 | Controller: IceCream | Action: Get | User: sari | Duration: 141ms
